Date,Close,High,Low,Open,Volume,Pct_Change,upper_shadow_ratio,lower_shadow_ratio,price_diff_ratio,Vol_Pct_Change,RSI_7,RSI_14,DIF,DEA,MACD,^VIX
2023-09-29,354.73,359.36,353.49,357.97,64754300,0.07,0.24,0.21,-0.01,14.7,37.8,40.06,-3.69,-2.27,-2.84,17.52
2023-10-02,357.69,359.09,354.38,355.0,51625100,0.83,0.3,0.13,0.01,-20.28,48.15,44.69,-3.44,-2.5,-1.87,17.61
2023-10-03,351.41,357.44,349.79,355.23,60478500,-1.75,0.29,0.21,-0.01,17.15,34.11,37.99,-3.7,-2.74,-1.91,19.78
2023-10-04,356.19,357.04,351.79,352.25,54786700,1.36,0.16,0.09,0.01,-9.41,47.67,44.78,-3.48,-2.89,-1.18,18.58
2023-10-05,355.14,356.59,351.63,356.18,45897400,-0.29,0.08,0.71,-0.0,-16.23,45.29,43.65,-3.35,-2.98,-0.74,18.49
2023-10-06,361.09,362.29,351.34,352.13,74959200,1.68,0.11,0.07,0.03,63.32,58.89,51.18,-2.74,-2.93,0.39,17.45
2023-10-09,362.94,363.48,357.21,358.72,45304800,0.51,0.09,0.24,0.01,-39.56,62.28,53.26,-2.08,-2.76,1.36,17.7
2023-10-10,364.95,367.61,362.77,363.27,46968800,0.55,0.55,0.1,0.0,3.67,65.86,55.49,-1.38,-2.49,2.21,17.03
2023-10-11,367.55,367.74,364.55,366.28,38215100,0.71,0.06,0.54,0.0,-18.64,70.15,58.26,-0.61,-2.11,3.0,16.09
2023-10-12,366.27,370.04,363.87,368.05,49587900,-0.35,0.32,0.39,-0.0,29.76,65.45,56.4,-0.1,-1.71,3.22,16.69
2023-10-13,361.67,367.49,360.26,366.91,52469900,-1.26,0.08,0.19,-0.01,5.81,51.06,50.19,-0.07,-1.38,2.63,19.32
2023-10-16,365.76,366.82,362.85,363.0,44201100,1.13,0.27,0.04,0.01,-15.76,60.14,54.94,0.28,-1.05,2.67,17.21
2023-10-17,364.56,366.26,360.06,362.19,50999100,-0.33,0.27,0.34,0.01,15.38,56.55,53.33,0.46,-0.75,2.42,17.88
2023-10-18,359.78,364.27,358.44,362.05,54280500,-1.31,0.38,0.23,-0.01,6.43,44.26,47.38,0.21,-0.56,1.54,19.22
2023-10-19,356.41,362.4,355.61,361.2,72274200,-0.94,0.18,0.12,-0.01,33.15,37.56,43.69,-0.25,-0.5,0.49,21.4
2023-10-20,351.09,356.48,350.87,355.91,72369800,-1.49,0.1,0.04,-0.01,0.13,29.36,38.57,-1.04,-0.6,-0.87,21.71
2023-10-23,352.15,355.71,347.65,349.77,60665200,0.3,0.44,0.26,0.01,-16.17,32.77,40.08,-1.56,-0.79,-1.52,20.37
2023-10-24,355.58,356.35,352.27,353.98,47082100,0.97,0.19,0.42,0.0,-22.39,43.13,44.79,-1.67,-0.97,-1.4,18.97
2023-10-25,346.88,353.35,346.29,353.17,71190500,-2.45,0.03,0.08,-0.02,51.21,29.61,36.86,-2.44,-1.26,-2.35,20.19
2023-10-26,340.26,346.61,338.97,345.67,78621400,-1.91,0.12,0.17,-0.02,10.44,23.17,32.2,-3.54,-1.72,-3.64,20.68
2023-10-27,341.9,345.39,340.68,343.0,63476700,0.48,0.51,0.26,-0.0,-19.26,27.7,34.4,-4.23,-2.22,-4.02,21.27
2023-10-30,345.75,347.07,343.02,344.39,55298500,1.13,0.33,0.34,0.0,-12.88,37.79,39.41,-4.41,-2.66,-3.51,19.75
2023-10-31,347.4,347.78,343.19,345.78,47671900,0.48,0.08,0.56,0.0,-13.79,41.86,41.48,-4.38,-3.0,-2.75,18.14
2023-11-01,353.43,354.0,348.14,348.24,58992700,1.74,0.1,0.02,0.01,23.75,54.5,48.39,-3.82,-3.17,-1.31,16.87
2023-11-02,359.85,360.08,356.74,357.97,58162400,1.82,0.07,0.37,0.01,-1.41,64.18,54.55,-2.83,-3.1,0.55,15.66
2023-11-03,364.07,365.37,360.92,361.14,53239100,1.17,0.29,0.05,0.01,-8.46,69.21,58.09,-1.68,-2.81,2.27,14.91
2023-11-06,365.56,366.12,363.28,364.85,38848700,0.41,0.2,0.55,0.0,-27.03,70.89,59.29,-0.64,-2.38,3.48,14.89
2023-11-07,369.02,369.89,365.4,366.61,50777400,0.95,0.19,0.27,0.01,30.71,74.64,62.02,0.46,-1.81,4.54,14.81
2023-11-08,369.25,370.09,366.96,369.39,35663400,0.06,0.22,0.73,-0.0,-29.77,74.89,62.21,1.33,-1.18,5.02,14.45
2023-11-09,366.41,371.09,365.92,369.95,53859400,-0.77,0.22,0.1,-0.01,51.02,65.54,58.49,1.77,-0.59,4.72,15.29
2023-11-10,374.65,374.8,367.61,368.14,58309800,2.25,0.02,0.07,0.02,8.26,75.77,65.02,2.75,0.08,5.35,14.17
